121	Aid in Time of Need	00.png	add	The King's Banner	4
121	House of the Stewards	01.png	replace	Brave Stand	3
121	It Is Not So Dark Here	02.png	add	Like a God of Old	2
122	Ever At Your Service	03.png	add	There Is Hope for Victory	4
122	King Brand's Men	04.png	replace	Shield-Wall	6
122	Dain Ironfoot's Guard	05.png	replace	Valour	3
122	Men of Little Villages	06.png	add	There Is Hope for Victory	4
122	Riders of Theoden	07.png	replace	Daylight	3
122	Thranduil's Archers	08.png	replace	Valour	3
122	Wisdom of Elrond	09.png	replace	Confusion	4
123	The West Has Failed	10.png	add	Battle Is Vain	1
123	Your Welcome Is Doubtful	11.png	add	Servant of the Shadow	3
124	Stormcrow	12.png	replace	Great Host	7
124	The King Is Revealed	13.png	replace	Relentless Assault	3
124	The Palantir of Barad-Dur	14.png	add	His Power Waxes	3
124	Threats and Promises	15.png	replace	Devilry of Orthanc	3
124	Denethor's Folly	16.png	replace	Devilry of Orthanc	3
124	Return to Valinor	17.png	replace	Deadly Strife	3
124	Work of the Enemy	18.png	add	His Power Waxes	3
